"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day","cell_ID"
"Serengeti","Rung'abure","Nyamerama","Nyamerama",681967.292523087,9806585.95862539,0,10764,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-05-14,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,113,3421,1268
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",681910.672551789,9798525.30758998,10701,10706,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-10-20,"0","true",2015-10-27,"+/- 7 days",7,"Day",3,"Day","Killed","Buried","","",TRUE,FALSE,166,5048,1772
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",682058.77224945,9800044.76811301,10701,10707,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2015-10-20,"0","true",2015-11-02,"+/- 7 days",14,"Day",1,"Week","Killed","Buried","","",TRUE,FALSE,167,5054,1648
"Serengeti","Mbalibali","Mbalibali","Mbalibali",695315.461728001,9809081.08717478,0,10717,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-09-23,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,177,5380,1102
"Serengeti","Kisangura","Kibeyo","Kibeyo",692377.301256425,9801464.8450179,10715,10712,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2016-05-01,"+/- 7 days","true",2016-05-24,"+/- 7 days",23,"Day",4,"Day","Died","Buried","","",TRUE,FALSE,173,5258,1595
"Serengeti","Mugumu","Mugumu","Mugumu",685262.625257284,9797333.49005887,0,10778,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-10-03,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,178,5390,1839
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",672492.603816858,9812124.58475427,0,10785,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-07-17,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,175,5312,912
"Serengeti","Mugumu","Mugumu","Mugumu",684611.767623711,9795564.54020791,0,10779,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2016-11-10,"0",NA,"",1,"Day","Killed","Buried","","",TRUE,FALSE,179,5428,1960
"Serengeti","Mugumu","Mugumu","Mugumu",684989.079192139,9795360.79299499,0,10783,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2016-08-22,"+/- 7 days",NA,"",NA,"","Died","Thrown","","",TRUE,FALSE,176,5348,1960
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",672947.035952326,9812141.75747769,0,10784,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2014-02-15,"+/- 7 days",NA,"",2,"Day","Killed","Buried","","",TRUE,FALSE,146,4429,912
"Serengeti","Kyambahi","Nyichoka","Nyichoka",676458.85502296,9788243.60366207,0,10786,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2016-11-21,"0",NA,"",1,"Day","Killed","Thrown","","",TRUE,FALSE,179,5439,2372
"Serengeti","Mugumu","Mugumu","Mugumu",684260.528061099,9796407.136111,0,10803,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2016-11-29,"0",NA,"",1,"Day","Killed","Buried","","",TRUE,FALSE,179,5447,1900
"Serengeti","Majimoto","Majimoto","Majimoto",649571.582540739,9818785.06176426,0,10796,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2014-02-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,146,4429,579
"Serengeti","Majimoto","Iseresere","Iseresere",648917.076485821,9824131.39503223,0,10797,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2014-04-08,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,148,4481,312
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",654115.99252293,9820297.37965006,0,10798,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-16,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,127,3850,488
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",654210.344708888,9821742.50221903,0,10795,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2014-05-12,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,149,4515,443
"Serengeti","Kisaka","Nyiboko","Nyiboko",664784.930823151,9828279.17219229,0,10806,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-09-28,"+/- 7 days",NA,"",5,"Day","Killed","Buried","","",TRUE,FALSE,21,636,199
"Serengeti","Machochwe","Machochwe","Machochwe",688930.599729883,9817190.96580516,0,10821,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2010-03-16,"+/- 7 days",NA,"",NA,"","Died","Thrown","","",TRUE,FALSE,99,2997,667
"Serengeti","Machochwe","Machochwe","Machochwe",688668.600080411,9816856.25398866,0,224,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-08-19,"+/- 7 days",NA,"",1,"Day","Killed","Thrown","","",TRUE,FALSE,20,596,716
"Serengeti","Machochwe","Machochwe","Machochwe",689205.202019401,9816189.65471618,0,10825,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-07-16,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,31,928,717
"Serengeti","Machochwe","Machochwe","Machochwe",683250.416683497,9814526.88153656,0,10817,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2014-03-13,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,147,4455,816
"Serengeti","Sedeco","Bisarara","Bisarara",700080.618908917,9801828.49506716,0,10896,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-03-18,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,183,5556,1602
"Serengeti","Mbalibali","Koreri","Koreri",695284.25361498,9807684.12627072,0,10890,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-06-02,"+/- 7 days",NA,"",NA,"","Died","Buried","","",TRUE,FALSE,186,5632,1220
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",674493.434401178,9813222.40547513,0,10848,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-06-19,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2017-06-19",TRUE,FALSE,186,5649,860
"Serengeti","Rung'abure","Gesarya","Gesarya",682386.374694776,9816107.51294673,0,10852,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-05-19,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2017-05-19",TRUE,FALSE,185,5618,710
"Serengeti","Rung'abure","Gesarya","Gesarya",681783.734641588,9815682.71573745,0,10859,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-04-03,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2017-04-03",TRUE,FALSE,184,5572,761
"Serengeti","Rung'abure","Gesarya","Gesarya",683429.743932405,9812379.00642082,0,10868,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-05-24,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2017-05-24",TRUE,FALSE,185,5623,923
"Serengeti","Rung'abure","Gesarya","Gesarya",683656.406194682,9812590.87308147,0,10882,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-08-18,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2016-08-19",TRUE,FALSE,176,5344,923
"Serengeti","Rung'abure","Nyamerama","Nyamerama",680343.86265966,9806854.93716539,10873,10874,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2017-02-22,"0","true",2017-03-27,"0",33,"Day",4,"Day","Died","Buried","","",TRUE,FALSE,183,5565,1267
"Serengeti","Rung'abure","Nyamerama","Nyamerama",680186.900140149,9805299.62631768,10873,10875,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2017-02-22,"0","true",2017-03-28,"0",30,"Day",1,"Day","Died","Buried","","",TRUE,FALSE,183,5566,1327
"Serengeti","Rung'abure","Nyamerama","Nyamerama",679403.730342993,9806676.08205589,10873,10876,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2017-02-22,"0","true",2017-04-05,"0",43,"Day",3,"Day","Died","Buried","","",TRUE,FALSE,184,5574,1266
"Serengeti","Rung'abure","Nyamerama","Nyamerama",680714.763635814,9806480.34921544,0,10873,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2017-02-22,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,182,5532,1267
"Serengeti","Kisangura","Kibeyo","Kibeyo",692075.101775235,9799217.55605543,0,10888,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2017-03-17,"0",NA,"",3,"Day","Died","Buried","","",TRUE,FALSE,183,5555,1720
"Serengeti","Kisangura","Kibeyo","Kibeyo",690816.996056923,9799551.60987078,10888,10889,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2017-03-20,"+/- 7 days","true",2017-03-31,"0",NA,"",NA,"","Died","Buried","Positive","2017-04-03",TRUE,FALSE,183,5569,1719
"Serengeti","Nyamoko","Itununu","Itununu",674334.376201633,9804992.75393321,0,10880,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2016-12-30,"+/- 7 days",NA,"",NA,"","Killed","Buried","Positive","2016-12-30",TRUE,FALSE,180,5478,1322
"Serengeti","Rung'abure","Gesarya","Gesarya",681844.597516372,9812398.48558425,0,10865,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2017-05-27,"+/- 7 days","true",2017-05-29,"0",2,"Day",0,"Day","Killed","Buried","Negative","2017-05-29",TRUE,FALSE,185,5628,921
"Serengeti","Rung'abure","Nyamerama","Nyamerama",682472.707194465,9808788.64349202,0,10877,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2017-04-08,"0",NA,"",3,"Day","Killed","Buried","Positive","2017-04-10",TRUE,FALSE,184,5577,1147
"Serengeti","Rung'abure","Rung'abure","Rung'abure",676556.463304314,9809184.71471384,0,10881,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2017-02-04,"0",NA,"",4,"Day","Died","Buried","","",TRUE,FALSE,182,5514,1083
"Serengeti","Sedeco","Bonchugu","Bonchugu",701129.835553689,9794278.29289472,0,10898,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2017-05-15,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,185,5614,2035
"Serengeti","Sedeco","Bonchugu","Bonchugu",700498.503522052,9792491.18352,0,10901,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2017-04-26,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,184,5595,2153
