counts,regions,group,hemisphere,ID,global_id,region_idx,hemisphere_idx,group_idx,animal_idx
82,MGm,het,L,2,2 het L,16,1,1,5
1242,LGd,het,L,2,2 het L,8,1,1,5
480,LP,het,L,2,2 het L,13,1,1,5
93,PO,het,L,2,2 het L,24,1,1,5
33,POL,het,L,2,2 het L,25,1,1,5
13,SGN,het,L,2,2 het L,37,1,1,5
13,LD,het,L,2,2 het L,7,1,1,5
5,MD,het,L,2,2 het L,14,1,1,5
3,PR,het,L,2,2 het L,27,1,1,5
5,CL,het,L,2,2 het L,3,1,1,5
10,RT,het,L,2,2 het L,34,1,1,5
313,IGL,het,L,2,2 het L,6,1,1,5
844,LGv,het,L,2,2 het L,9,1,1,5
9,MH,het,L,2,2 het L,18,1,1,5
0,LH,het,L,2,2 het L,10,1,1,5
15,PVH,het,L,2,2 het L,29,1,1,5
20,PVa,het,L,2,2 het L,28,1,1,5
684,PVi,het,L,2,2 het L,31,1,1,5
1680,ARH,het,L,2,2 het L,2,1,1,5
436,DMH,het,L,2,2 het L,4,1,1,5
1348,PVp,het,L,2,2 het L,32,1,1,5
23,SBPV,het,L,2,2 het L,35,1,1,5
0,SCH,het,L,2,2 het L,36,1,1,5
8,AHN,het,L,2,2 het L,1,1,1,5
6,LM,het,L,2,2 het L,12,1,1,5
0,MMme,het,L,2,2 het L,19,1,1,5
6,SUM,het,L,2,2 het L,40,1,1,5
712,TMd,het,L,2,2 het L,41,1,1,5
26,TMv,het,L,2,2 het L,42,1,1,5
0,MPN,het,L,2,2 het L,20,1,1,5
19,PMd,het,L,2,2 het L,22,1,1,5
170,PMv,het,L,2,2 het L,23,1,1,5
5,PVHd,het,L,2,2 het L,30,1,1,5
4222,VMH,het,L,2,2 het L,46,1,1,5
165,PH,het,L,2,2 het L,21,1,1,5
10,LHA,het,L,2,2 het L,11,1,1,5
126,RCH,het,L,2,2 het L,33,1,1,5
1014,TU,het,L,2,2 het L,43,1,1,5
203,ZI,het,L,2,2 het L,50,1,1,5
59,FF,het,L,2,2 het L,5,1,1,5
2,VAL,het,R,2,2 het R,44,2,1,6
1,VM,het,R,2,2 het R,45,2,1,6
105,VPL,het,R,2,2 het R,47,2,1,6
266,VPM,het,R,2,2 het R,48,2,1,6
10,VPMpc,het,R,2,2 het R,49,2,1,6
27,SPFm,het,R,2,2 het R,38,2,1,6
36,SPFp,het,R,2,2 het R,39,2,1,6
72,PP,het,R,2,2 het R,26,2,1,6
24,MGd,het,R,2,2 het R,15,2,1,6
74,MGv,het,R,2,2 het R,17,2,1,6
106,MGm,het,R,2,2 het R,16,2,1,6
1324,LGd,het,R,2,2 het R,8,2,1,6
491,LP,het,R,2,2 het R,13,2,1,6
91,PO,het,R,2,2 het R,24,2,1,6
44,POL,het,R,2,2 het R,25,2,1,6
12,SGN,het,R,2,2 het R,37,2,1,6
33,LD,het,R,2,2 het R,7,2,1,6
14,MD,het,R,2,2 het R,14,2,1,6
1,PR,het,R,2,2 het R,27,2,1,6
13,CL,het,R,2,2 het R,3,2,1,6
9,RT,het,R,2,2 het R,34,2,1,6
345,IGL,het,R,2,2 het R,6,2,1,6
756,LGv,het,R,2,2 het R,9,2,1,6
207,MH,het,R,2,2 het R,18,2,1,6
1,LH,het,R,2,2 het R,10,2,1,6
20,PVH,het,R,2,2 het R,29,2,1,6
12,PVa,het,R,2,2 het R,28,2,1,6
