subject,race0W1B,object0NG1G,conditionRaceObj,conditionRace,rt,resp0DS1S,diffusionRT,ybin,lowerLim,upperLim
2,0,0,1,1,783,0,-0.783,1,-0.851,0.851
2,0,1,3,1,579,1,0.579,1,-0.851,0.851
2,0,1,3,1,544,1,0.544,1,-0.851,0.851
2,1,1,4,2,783,1,0.783,1,-0.851,0.851
2,1,0,2,2,609,0,-0.609,1,-0.851,0.851
2,0,0,1,1,596,1,0.596,1,-0.851,0.851
2,1,1,4,2,698,1,0.698,1,-0.851,0.851
2,1,0,2,2,786,0,-0.786,1,-0.851,0.851
2,1,0,2,2,693,0,-0.693,1,-0.851,0.851
2,0,1,3,1,706,1,0.706,1,-0.851,0.851
2,1,1,4,2,526,1,0.526,1,-0.851,0.851
2,1,0,2,2,812,0,-0.812,1,-0.851,0.851
2,1,1,4,2,682,1,0.682,1,-0.851,0.851
2,1,0,2,2,687,0,-0.687,1,-0.851,0.851
2,0,0,1,1,600,0,-0.6,1,-0.851,0.851
2,1,1,4,2,503,1,0.503,1,-0.851,0.851
2,1,1,4,2,612,1,0.612,1,-0.851,0.851
2,0,1,3,1,589,1,0.589,1,-0.851,0.851
2,0,0,1,1,674,0,-0.674,1,-0.851,0.851
2,1,1,4,2,638,1,0.638,1,-0.851,0.851
2,0,0,1,1,663,0,-0.663,1,-0.851,0.851
2,1,0,2,2,668,0,-0.668,1,-0.851,0.851
2,0,0,1,1,628,0,-0.628,1,-0.851,0.851
2,0,1,3,1,621,1,0.621,1,-0.851,0.851
2,1,0,2,2,646,0,-0.646,1,-0.851,0.851
2,1,1,4,2,608,1,0.608,1,-0.851,0.851
2,0,0,1,1,608,0,-0.608,1,-0.851,0.851
2,0,1,3,1,687,1,0.687,1,-0.851,0.851
2,1,1,4,2,492,1,0.492,1,-0.851,0.851
2,1,0,2,2,645,0,-0.645,1,-0.851,0.851
2,0,1,3,1,710,1,0.71,1,-0.851,0.851
2,0,0,1,1,579,0,-0.579,1,-0.851,0.851
2,1,0,2,2,527,0,-0.527,1,-0.851,0.851
2,0,1,3,1,563,0,-0.563,1,-0.851,0.851
2,1,0,2,2,843,0,-0.843,1,-0.851,0.851
2,1,0,2,2,829,0,-0.829,1,-0.851,0.851
2,0,1,3,1,619,1,0.619,1,-0.851,0.851
2,1,1,4,2,645,1,0.645,1,-0.851,0.851
2,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
2,1,0,2,2,669,0,-0.669,1,-0.851,0.851
2,0,0,1,1,608,0,-0.608,1,-0.851,0.851
2,0,1,3,1,578,1,0.578,1,-0.851,0.851
2,1,1,4,2,667,1,0.667,1,-0.851,0.851
2,0,0,1,1,588,0,-0.588,1,-0.851,0.851
2,1,1,4,2,567,1,0.567,1,-0.851,0.851
2,1,1,4,2,768,0,-0.768,1,-0.851,0.851
2,0,0,1,1,764,0,-0.764,1,-0.851,0.851
2,0,1,3,1,670,1,0.67,1,-0.851,0.851
2,1,0,2,2,671,0,-0.671,1,-0.851,0.851
2,1,1,4,2,538,1,0.538,1,-0.851,0.851
2,0,0,1,1,506,0,-0.506,1,-0.851,0.851
2,1,0,2,2,584,0,-0.584,1,-0.851,0.851
2,0,1,3,1,496,1,0.496,1,-0.851,0.851
2,1,1,4,2,524,1,0.524,1,-0.851,0.851
2,1,1,4,2,560,1,0.56,1,-0.851,0.851
2,1,1,4,2,495,1,0.495,1,-0.851,0.851
2,1,0,2,2,732,0,-0.732,1,-0.851,0.851
2,0,1,3,1,695,1,0.695,1,-0.851,0.851
2,1,0,2,2,717,0,-0.717,1,-0.851,0.851
2,1,0,2,2,562,0,-0.562,1,-0.851,0.851
2,1,1,4,2,561,1,0.561,1,-0.851,0.851
2,0,1,3,1,423,0,-0.423,1,-0.851,0.851
2,1,1,4,2,522,1,0.522,1,-0.851,0.851
2,1,1,4,2,538,1,0.538,1,-0.851,0.851
2,0,1,3,1,567,1,0.567,1,-0.851,0.851
2,1,0,2,2,607,0,-0.607,1,-0.851,0.851
2,0,0,1,1,563,0,-0.563,1,-0.851,0.851
2,0,1,3,1,520,0,-0.52,1,-0.851,0.851
2,0,0,1,1,723,0,-0.723,1,-0.851,0.851
2,1,1,4,2,492,1,0.492,1,-0.851,0.851
2,1,0,2,2,607,0,-0.607,1,-0.851,0.851
2,1,0,2,2,564,0,-0.564,1,-0.851,0.851
2,0,1,3,1,426,1,0.426,1,-0.851,0.851
2,1,1,4,2,577,1,0.577,1,-0.851,0.851
2,0,1,3,1,479,1,0.479,1,-0.851,0.851
2,1,1,4,2,477,1,0.477,1,-0.851,0.851
2,0,0,1,1,623,1,0.623,1,-0.851,0.851
2,1,1,4,2,690,1,0.69,1,-0.851,0.851
2,1,0,2,2,709,0,-0.709,1,-0.851,0.851
2,0,0,1,1,689,0,-0.689,1,-0.851,0.851
2,1,1,4,2,724,1,0.724,1,-0.851,0.851
2,0,0,1,1,579,0,-0.579,1,-0.851,0.851
2,1,0,2,2,711,0,-0.711,1,-0.851,0.851
2,0,1,3,1,748,1,0.748,1,-0.851,0.851
2,0,0,1,1,563,0,-0.563,1,-0.851,0.851
2,0,0,1,1,595,0,-0.595,1,-0.851,0.851
2,0,1,3,1,703,1,0.703,1,-0.851,0.851
2,0,1,3,1,585,1,0.585,1,-0.851,0.851
2,0,0,1,1,616,1,0.616,1,-0.851,0.851
2,0,0,1,1,572,0,-0.572,1,-0.851,0.851
2,0,1,3,1,576,1,0.576,1,-0.851,0.851
2,0,1,3,1,680,1,0.68,1,-0.851,0.851
2,0,0,1,1,651,0,-0.651,1,-0.851,0.851
2,0,1,3,1,719,1,0.719,1,-0.851,0.851
2,0,1,3,1,549,1,0.549,1,-0.851,0.851
3,1,1,4,2,539,1,0.539,1,-0.851,0.851
3,0,0,1,1,597,0,-0.597,1,-0.851,0.851
3,1,1,4,2,363,1,0.363,1,-0.851,0.851
3,1,0,2,2,653,0,-0.653,1,-0.851,0.851
3,1,0,2,2,463,1,0.463,1,-0.851,0.851
3,1,0,2,2,762,0,-0.762,1,-0.851,0.851
3,1,0,2,2,580,0,-0.58,1,-0.851,0.851
3,1,0,2,2,689,0,-0.689,1,-0.851,0.851
3,1,0,2,2,604,0,-0.604,1,-0.851,0.851
3,0,0,1,1,662,0,-0.662,1,-0.851,0.851
3,1,0,2,2,638,0,-0.638,1,-0.851,0.851
3,0,0,1,1,570,0,-0.57,1,-0.851,0.851
3,1,1,4,2,485,1,0.485,1,-0.851,0.851
3,1,1,4,2,714,1,0.714,1,-0.851,0.851
3,1,1,4,2,571,0,-0.571,1,-0.851,0.851
3,0,0,1,1,765,0,-0.765,1,-0.851,0.851
3,1,0,2,2,655,0,-0.655,1,-0.851,0.851
3,0,0,1,1,619,0,-0.619,1,-0.851,0.851
3,0,1,3,1,753,1,0.753,1,-0.851,0.851
3,0,0,1,1,NaN,NaN,NaN,0,-0.851,0.851
3,0,0,1,1,641,0,-0.641,1,-0.851,0.851
3,1,0,2,2,680,0,-0.68,1,-0.851,0.851
3,1,1,4,2,538,1,0.538,1,-0.851,0.851
3,1,1,4,2,597,1,0.597,1,-0.851,0.851
3,1,0,2,2,680,0,-0.68,1,-0.851,0.851
3,0,0,1,1,622,0,-0.622,1,-0.851,0.851
3,1,1,4,2,595,0,-0.595,1,-0.851,0.851
3,0,1,3,1,NaN,NaN,NaN,0,-0.851,0.851
3,0,0,1,1,651,0,-0.651,1,-0.851,0.851
3,0,0,1,1,684,1,0.684,1,-0.851,0.851
3,1,0,2,2,846,0,-0.846,1,-0.851,0.851
3,1,0,2,2,838,0,-0.838,1,-0.851,0.851
3,1,0,2,2,669,0,-0.669,1,-0.851,0.851
3,1,0,2,2,742,0,-0.742,1,-0.851,0.851
3,0,1,3,1,749,0,-0.749,1,-0.851,0.851
3,1,1,4,2,707,1,0.707,1,-0.851,0.851
3,1,0,2,2,807,0,-0.807,1,-0.851,0.851
3,0,1,3,1,613,1,0.613,1,-0.851,0.851
3,1,1,4,2,695,1,0.695,1,-0.851,0.851
3,0,0,1,1,711,0,-0.711,1,-0.851,0.851
3,0,1,3,1,722,1,0.722,1,-0.851,0.851
3,0,1,3,1,526,1,0.526,1,-0.851,0.851
3,0,1,3,1,577,1,0.577,1,-0.851,0.851
3,0,0,1,1,802,0,-0.802,1,-0.851,0.851
3,1,0,2,2,599,1,0.599,1,-0.851,0.851
3,1,0,2,2,802,0,-0.802,1,-0.851,0.851
3,0,1,3,1,624,1,0.624,1,-0.851,0.851
3,0,1,3,1,NaN,NaN,NaN,2,-0.851,0.851
3,1,1,4,2,598,1,0.598,1,-0.851,0.851
3,1,0,2,2,825,0,-0.825,1,-0.851,0.851
3,0,0,1,1,NaN,NaN,NaN,0,-0.851,0.851
3,1,1,4,2,530,1,0.53,1,-0.851,0.851
3,0,1,3,1,744,1,0.744,1,-0.851,0.851
3,0,1,3,1,747,1,0.747,1,-0.851,0.851
3,0,1,3,1,517,1,0.517,1,-0.851,0.851
3,0,1,3,1,563,1,0.563,1,-0.851,0.851
3,1,0,2,2,678,0,-0.678,1,-0.851,0.851
3,0,0,1,1,717,0,-0.717,1,-0.851,0.851
3,1,1,4,2,669,1,0.669,1,-0.851,0.851
3,0,1,3,1,828,1,0.828,1,-0.851,0.851
3,0,0,1,1,521,0,-0.521,1,-0.851,0.851
3,1,1,4,2,648,1,0.648,1,-0.851,0.851
3,0,0,1,1,585,0,-0.585,1,-0.851,0.851
3,0,1,3,1,643,1,0.643,1,-0.851,0.851
3,1,1,4,2,589,1,0.589,1,-0.851,0.851
3,1,0,2,2,606,0,-0.606,1,-0.851,0.851
3,0,1,3,1,682,1,0.682,1,-0.851,0.851
3,1,1,4,2,NaN,NaN,NaN,2,-0.851,0.851
3,1,1,4,2,547,1,0.547,1,-0.851,0.851
3,1,1,4,2,486,1,0.486,1,-0.851,0.851
3,1,1,4,2,388,1,0.388,1,-0.851,0.851
3,1,0,2,2,769,0,-0.769,1,-0.851,0.851
3,1,0,2,2,NaN,NaN,NaN,0,-0.851,0.851
3,1,1,4,2,700,1,0.7,1,-0.851,0.851
3,1,1,4,2,588,1,0.588,1,-0.851,0.851
3,0,0,1,1,656,0,-0.656,1,-0.851,0.851
3,1,0,2,2,669,0,-0.669,1,-0.851,0.851
3,1,1,4,2,592,1,0.592,1,-0.851,0.851
3,0,1,3,1,652,1,0.652,1,-0.851,0.851
3,0,1,3,1,616,1,0.616,1,-0.851,0.851
3,1,0,2,2,836,0,-0.836,1,-0.851,0.851
3,1,1,4,2,448,1,0.448,1,-0.851,0.851
3,1,0,2,2,798,0,-0.798,1,-0.851,0.851
3,0,1,3,1,803,1,0.803,1,-0.851,0.851
3,1,1,4,2,509,1,0.509,1,-0.851,0.851
3,0,0,1,1,650,0,-0.65,1,-0.851,0.851
3,1,1,4,2,675,1,0.675,1,-0.851,0.851
3,0,1,3,1,NaN,NaN,NaN,2,-0.851,0.851
3,0,1,3,1,833,1,0.833,1,-0.851,0.851
3,0,1,3,1,497,1,0.497,1,-0.851,0.851
