"","Lower95","Median","Upper95","Mean","SD"
"muAlpha[1]",1.25726,1.315695,1.37907,1.31659882,0.0309836173412846
"muAlpha[2]",1.34192,1.418715,1.48465,1.41685312,0.0364814401269925
"muBeta[1]",0.559282,0.5831335,0.60755,0.582837764,0.012458541714099
"muBeta[2]",0.511499,0.535997,0.565376,0.536390897,0.0140955642855801
"muNDT[1]",0.413,0.424635,0.439038,0.424874469,0.00673076359141833
"muNDT[2]",0.425189,0.4387145,0.452104,0.438911111,0.00693548314359671
"muNDT[3]",0.382531,0.395096,0.407845,0.395227338,0.00659403329889249
"muNDT[4]",0.361647,0.3736615,0.386674,0.373733749,0.00653151389907522
"muDelta[1]",-3.50573,-3.2561,-3.00462,-3.25963515,0.12881219511439
"muDelta[2]",-3.43485,-3.19258,-2.93002,-3.19227583,0.128690303234773
"muDelta[3]",2.35747,2.58462,2.80921,2.58258646,0.116411261876848
"muDelta[4]",2.97472,3.247585,3.4662,3.24584398,0.126044060891601
