Subject,Context1Safe2Danger,Race012B,Object0NG1G,RaceObject,Race1W2B,RT,Resp0NS1Sh,DiffusionRT,ybin,lower,upper
2,0,1,1,4,2,503,1,0.503,1,-0.631,0.631
2,0,1,0,2,2,577,0,-0.577,1,-0.631,0.631
2,0,1,0,2,2,505,0,-0.505,1,-0.631,0.631
2,0,0,1,3,1,414,1,0.414,1,-0.631,0.631
2,0,1,0,2,2,561,0,-0.561,1,-0.631,0.631
2,0,1,0,2,2,618,0,-0.618,1,-0.631,0.631
2,0,0,0,1,1,573,0,-0.573,1,-0.631,0.631
2,0,1,0,2,2,443,0,-0.443,1,-0.631,0.631
2,0,1,0,2,2,501,0,-0.501,1,-0.631,0.631
2,0,1,0,2,2,514,0,-0.514,1,-0.631,0.631
2,0,0,0,1,1,572,0,-0.572,1,-0.631,0.631
2,0,1,1,4,2,400,1,0.4,1,-0.631,0.631
2,0,0,0,1,1,470,0,-0.47,1,-0.631,0.631
2,0,1,1,4,2,365,1,0.365,1,-0.631,0.631
2,0,1,0,2,2,556,0,-0.556,1,-0.631,0.631
2,0,1,1,4,2,504,1,0.504,1,-0.631,0.631
2,0,1,0,2,2,506,0,-0.506,1,-0.631,0.631
2,0,0,1,3,1,571,0,-0.571,1,-0.631,0.631
2,0,1,0,2,2,553,0,-0.553,1,-0.631,0.631
2,0,1,0,2,2,556,0,-0.556,1,-0.631,0.631
2,0,0,1,3,1,492,1,0.492,1,-0.631,0.631
2,0,0,1,3,1,382,1,0.382,1,-0.631,0.631
2,0,0,1,3,1,387,0,-0.387,1,-0.631,0.631
2,0,0,1,3,1,483,1,0.483,1,-0.631,0.631
2,0,0,0,1,1,617,1,0.617,1,-0.631,0.631
2,0,1,0,2,2,562,0,-0.562,1,-0.631,0.631
2,0,0,1,3,1,539,1,0.539,1,-0.631,0.631
2,0,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
2,0,0,0,1,1,530,1,0.53,1,-0.631,0.631
2,0,1,0,2,2,497,0,-0.497,1,-0.631,0.631
2,0,0,1,3,1,471,1,0.471,1,-0.631,0.631
2,0,1,1,4,2,393,1,0.393,1,-0.631,0.631
2,0,0,1,3,1,488,0,-0.488,1,-0.631,0.631
2,0,0,1,3,1,435,1,0.435,1,-0.631,0.631
2,0,0,1,3,1,459,0,-0.459,1,-0.631,0.631
2,0,1,1,4,2,421,1,0.421,1,-0.631,0.631
2,0,1,1,4,2,426,1,0.426,1,-0.631,0.631
2,0,1,1,4,2,372,1,0.372,1,-0.631,0.631
2,0,0,0,1,1,559,0,-0.559,1,-0.631,0.631
2,0,0,0,1,1,545,0,-0.545,1,-0.631,0.631
2,0,1,1,4,2,375,1,0.375,1,-0.631,0.631
2,0,0,1,3,1,364,1,0.364,1,-0.631,0.631
2,0,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
2,0,1,1,4,2,392,1,0.392,1,-0.631,0.631
2,0,1,1,4,2,625,1,0.625,1,-0.631,0.631
2,0,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
2,0,1,0,2,2,316,1,0.316,1,-0.631,0.631
2,0,1,1,4,2,304,0,-0.304,1,-0.631,0.631
2,0,0,0,1,1,390,1,0.39,1,-0.631,0.631
2,0,1,0,2,2,429,1,0.429,1,-0.631,0.631
2,0,1,1,4,2,436,1,0.436,1,-0.631,0.631
2,0,0,0,1,1,420,0,-0.42,1,-0.631,0.631
2,0,1,0,2,2,570,0,-0.57,1,-0.631,0.631
2,0,0,1,3,1,505,1,0.505,1,-0.631,0.631
2,0,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
2,0,0,0,1,1,600,1,0.6,1,-0.631,0.631
2,0,0,0,1,1,487,0,-0.487,1,-0.631,0.631
2,0,0,0,1,1,447,0,-0.447,1,-0.631,0.631
2,0,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
2,0,0,1,3,1,492,0,-0.492,1,-0.631,0.631
2,0,0,1,3,1,423,1,0.423,1,-0.631,0.631
2,0,0,0,1,1,554,0,-0.554,1,-0.631,0.631
3,1,1,0,2,2,503,0,-0.503,1,-0.631,0.631
3,1,0,1,3,1,409,1,0.409,1,-0.631,0.631
3,1,0,0,1,1,511,1,0.511,1,-0.631,0.631
3,1,1,1,4,2,399,1,0.399,1,-0.631,0.631
3,1,0,1,3,1,425,1,0.425,1,-0.631,0.631
3,1,1,0,2,2,448,0,-0.448,1,-0.631,0.631
3,1,1,1,4,2,348,1,0.348,1,-0.631,0.631
3,1,1,1,4,2,542,1,0.542,1,-0.631,0.631
3,1,0,1,3,1,474,1,0.474,1,-0.631,0.631
3,1,0,0,1,1,486,0,-0.486,1,-0.631,0.631
3,1,0,1,3,1,370,1,0.37,1,-0.631,0.631
3,1,1,0,2,2,554,0,-0.554,1,-0.631,0.631
3,1,1,0,2,2,551,0,-0.551,1,-0.631,0.631
3,1,0,0,1,1,612,0,-0.612,1,-0.631,0.631
3,1,1,0,2,2,506,0,-0.506,1,-0.631,0.631
3,1,0,1,3,1,591,0,-0.591,1,-0.631,0.631
3,1,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
3,1,0,0,1,1,526,0,-0.526,1,-0.631,0.631
3,1,0,1,3,1,500,1,0.5,1,-0.631,0.631
3,1,0,0,1,1,530,0,-0.53,1,-0.631,0.631
3,1,0,1,3,1,467,1,0.467,1,-0.631,0.631
3,1,0,0,1,1,529,0,-0.529,1,-0.631,0.631
3,1,1,1,4,2,410,1,0.41,1,-0.631,0.631
3,1,1,0,2,2,509,0,-0.509,1,-0.631,0.631
3,1,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
3,1,1,1,4,2,450,1,0.45,1,-0.631,0.631
3,1,0,0,1,1,515,0,-0.515,1,-0.631,0.631
3,1,1,1,4,2,555,1,0.555,1,-0.631,0.631
3,1,1,1,4,2,476,1,0.476,1,-0.631,0.631
3,1,1,0,2,2,529,0,-0.529,1,-0.631,0.631
3,1,1,0,2,2,544,0,-0.544,1,-0.631,0.631
3,1,0,0,1,1,559,0,-0.559,1,-0.631,0.631
3,1,0,0,1,1,553,0,-0.553,1,-0.631,0.631
3,1,1,1,4,2,NaN,NaN,NaN,2,-0.631,0.631
3,1,1,0,2,2,460,0,-0.46,1,-0.631,0.631
3,1,1,1,4,2,447,1,0.447,1,-0.631,0.631
3,1,1,0,2,2,426,0,-0.426,1,-0.631,0.631
3,1,0,1,3,1,415,1,0.415,1,-0.631,0.631
3,1,1,1,4,2,367,0,-0.367,1,-0.631,0.631
3,1,0,1,3,1,467,1,0.467,1,-0.631,0.631
3,1,0,1,3,1,412,1,0.412,1,-0.631,0.631
3,1,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
3,1,0,1,3,1,468,1,0.468,1,-0.631,0.631
3,1,0,0,1,1,591,0,-0.591,1,-0.631,0.631
3,1,0,0,1,1,430,0,-0.43,1,-0.631,0.631
3,1,1,1,4,2,481,1,0.481,1,-0.631,0.631
3,1,0,1,3,1,398,1,0.398,1,-0.631,0.631
3,1,1,1,4,2,404,1,0.404,1,-0.631,0.631
3,1,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
3,1,1,1,4,2,363,1,0.363,1,-0.631,0.631
3,1,1,1,4,2,477,1,0.477,1,-0.631,0.631
3,1,1,0,2,2,587,0,-0.587,1,-0.631,0.631
3,1,1,0,2,2,523,0,-0.523,1,-0.631,0.631
3,1,0,1,3,1,392,1,0.392,1,-0.631,0.631
3,1,1,0,2,2,484,0,-0.484,1,-0.631,0.631
3,1,1,0,2,2,517,1,0.517,1,-0.631,0.631
3,1,0,1,3,1,451,1,0.451,1,-0.631,0.631
3,1,0,1,3,1,477,1,0.477,1,-0.631,0.631
3,1,0,0,1,1,552,0,-0.552,1,-0.631,0.631
3,1,1,1,4,2,522,1,0.522,1,-0.631,0.631
3,1,1,0,2,2,520,0,-0.52,1,-0.631,0.631
3,1,1,1,4,2,612,1,0.612,1,-0.631,0.631
3,1,1,0,2,2,522,0,-0.522,1,-0.631,0.631
3,1,1,1,4,2,544,1,0.544,1,-0.631,0.631
3,1,1,0,2,2,547,0,-0.547,1,-0.631,0.631
3,1,0,0,1,1,502,0,-0.502,1,-0.631,0.631
3,1,1,1,4,2,437,1,0.437,1,-0.631,0.631
3,1,0,0,1,1,504,0,-0.504,1,-0.631,0.631
3,1,1,1,4,2,463,1,0.463,1,-0.631,0.631
3,1,0,1,3,1,491,1,0.491,1,-0.631,0.631
3,1,1,1,4,2,593,1,0.593,1,-0.631,0.631
3,1,0,1,3,1,502,1,0.502,1,-0.631,0.631
3,1,1,0,2,2,532,0,-0.532,1,-0.631,0.631
3,1,1,0,2,2,446,0,-0.446,1,-0.631,0.631
3,1,0,1,3,1,571,1,0.571,1,-0.631,0.631
3,1,0,0,1,1,470,0,-0.47,1,-0.631,0.631
3,1,0,0,1,1,513,0,-0.513,1,-0.631,0.631
3,1,0,0,1,1,425,0,-0.425,1,-0.631,0.631
3,1,0,1,3,1,510,1,0.51,1,-0.631,0.631
3,1,0,0,1,1,529,0,-0.529,1,-0.631,0.631
4,0,1,1,4,2,520,1,0.52,1,-0.631,0.631
4,0,0,0,1,1,487,0,-0.487,1,-0.631,0.631
4,0,0,0,1,1,580,0,-0.58,1,-0.631,0.631
4,0,0,0,1,1,506,0,-0.506,1,-0.631,0.631
4,0,0,1,3,1,528,1,0.528,1,-0.631,0.631
4,0,1,0,2,2,484,0,-0.484,1,-0.631,0.631
4,0,1,0,2,2,NaN,NaN,NaN,0,-0.631,0.631
4,0,0,1,3,1,502,1,0.502,1,-0.631,0.631
4,0,0,1,3,1,502,1,0.502,1,-0.631,0.631
4,0,1,0,2,2,401,0,-0.401,1,-0.631,0.631
4,0,1,1,4,2,505,1,0.505,1,-0.631,0.631
4,0,0,1,3,1,532,1,0.532,1,-0.631,0.631
4,0,1,1,4,2,552,1,0.552,1,-0.631,0.631
4,0,1,0,2,2,518,0,-0.518,1,-0.631,0.631
4,0,0,0,1,1,NaN,NaN,NaN,0,-0.631,0.631
4,0,1,1,4,2,441,1,0.441,1,-0.631,0.631
4,0,0,0,1,1,519,0,-0.519,1,-0.631,0.631
4,0,0,0,1,1,547,0,-0.547,1,-0.631,0.631
4,0,1,0,2,2,412,0,-0.412,1,-0.631,0.631
4,0,0,0,1,1,436,0,-0.436,1,-0.631,0.631
4,0,1,0,2,2,600,0,-0.6,1,-0.631,0.631
4,0,0,0,1,1,536,0,-0.536,1,-0.631,0.631
4,0,0,1,3,1,409,1,0.409,1,-0.631,0.631
4,0,1,1,4,2,433,1,0.433,1,-0.631,0.631
4,0,0,0,1,1,542,0,-0.542,1,-0.631,0.631
4,0,0,1,3,1,484,1,0.484,1,-0.631,0.631
4,0,0,1,3,1,NaN,NaN,NaN,2,-0.631,0.631
4,0,1,0,2,2,547,0,-0.547,1,-0.631,0.631
4,0,0,1,3,1,424,1,0.424,1,-0.631,0.631
4,0,0,0,1,1,493,0,-0.493,1,-0.631,0.631
4,0,1,0,2,2,575,0,-0.575,1,-0.631,0.631
4,0,0,1,3,1,601,0,-0.601,1,-0.631,0.631
4,0,1,1,4,2,417,1,0.417,1,-0.631,0.631
4,0,0,0,1,1,515,0,-0.515,1,-0.631,0.631
4,0,1,1,4,2,390,1,0.39,1,-0.631,0.631
4,0,1,0,2,2,557,0,-0.557,1,-0.631,0.631
4,0,0,1,3,1,379,1,0.379,1,-0.631,0.631
4,0,0,1,3,1,454,1,0.454,1,-0.631,0.631
4,0,1,0,2,2,507,0,-0.507,1,-0.631,0.631
4,0,0,0,1,1,536,0,-0.536,1,-0.631,0.631
4,0,0,1,3,1,523,1,0.523,1,-0.631,0.631
4,0,0,0,1,1,490,0,-0.49,1,-0.631,0.631
4,0,0,1,3,1,427,1,0.427,1,-0.631,0.631
4,0,0,1,3,1,578,1,0.578,1,-0.631,0.631
4,0,0,0,1,1,489,0,-0.489,1,-0.631,0.631
4,0,0,1,3,1,349,1,0.349,1,-0.631,0.631
4,0,1,1,4,2,450,1,0.45,1,-0.631,0.631
4,0,0,1,3,1,546,1,0.546,1,-0.631,0.631
4,0,0,0,1,1,543,0,-0.543,1,-0.631,0.631
4,0,1,1,4,2,451,1,0.451,1,-0.631,0.631
4,0,0,0,1,1,500,0,-0.5,1,-0.631,0.631
4,0,1,1,4,2,423,1,0.423,1,-0.631,0.631
4,0,1,1,4,2,492,1,0.492,1,-0.631,0.631
4,0,0,1,3,1,429,1,0.429,1,-0.631,0.631
4,0,0,0,1,1,441,0,-0.441,1,-0.631,0.631
4,0,0,0,1,1,522,0,-0.522,1,-0.631,0.631
4,0,0,1,3,1,515,1,0.515,1,-0.631,0.631
4,0,1,1,4,2,541,1,0.541,1,-0.631,0.631
4,0,1,0,2,2,456,0,-0.456,1,-0.631,0.631
4,0,0,1,3,1,410,1,0.41,1,-0.631,0.631
4,0,1,0,2,2,554,0,-0.554,1,-0.631,0.631
4,0,1,0,2,2,594,0,-0.594,1,-0.631,0.631
4,0,1,1,4,2,415,1,0.415,1,-0.631,0.631
4,0,1,0,2,2,520,0,-0.52,1,-0.631,0.631
4,0,1,1,4,2,591,0,-0.591,1,-0.631,0.631
4,0,1,1,4,2,457,1,0.457,1,-0.631,0.631
4,0,0,0,1,1,510,0,-0.51,1,-0.631,0.631
4,0,1,1,4,2,395,1,0.395,1,-0.631,0.631
4,0,0,1,3,1,477,1,0.477,1,-0.631,0.631
4,0,0,0,1,1,568,0,-0.568,1,-0.631,0.631
4,0,1,0,2,2,529,0,-0.529,1,-0.631,0.631
4,0,1,1,4,2,490,1,0.49,1,-0.631,0.631
4,0,1,0,2,2,516,0,-0.516,1,-0.631,0.631
4,0,1,0,2,2,517,0,-0.517,1,-0.631,0.631
4,0,1,0,2,2,599,0,-0.599,1,-0.631,0.631
4,0,1,0,2,2,595,0,-0.595,1,-0.631,0.631
4,0,1,1,4,2,453,1,0.453,1,-0.631,0.631
4,0,1,1,4,2,473,1,0.473,1,-0.631,0.631
4,0,1,1,4,2,543,1,0.543,1,-0.631,0.631
4,0,1,0,2,2,563,0,-0.563,1,-0.631,0.631
5,1,0,0,1,1,553,0,-0.553,1,-0.631,0.631
5,1,0,1,3,1,329,1,0.329,1,-0.631,0.631
5,1,0,0,1,1,361,1,0.361,1,-0.631,0.631
5,1,1,1,4,2,449,0,-0.449,1,-0.631,0.631
5,1,0,1,3,1,548,0,-0.548,1,-0.631,0.631
