PID,par_val,cond,order
501,6.1062020971254896e-18,,
502,31.40668232293274,,
503,40.112965043204085,,
505,26.933780871769272,,
506,6.371449000177456,,
507,1.3072474762977393e-11,,
601,7.554110868888198,,
603,23.43157418941832,,
604,2.4888728848749153,,
605,4.468893819855346,,
701,21.260848126232748,,
702,14.63211721329774,,
703,13.846454254008552,,
704,9.395367771253117,,
706,46.65798183874104,,
707,32.248526877621984,,
708,14.234445472574627,,
709,4.325974298514943,,
710,25.875562513061823,,
712,3.602921591076995e-18,,
713,8.145136024856882,,
715,13.309977634212915,,
716,31.748878834554652,,
717,-0.5834237187127265,,
719,1.749785375106238e-18,,
720,8.975816836976069,,
721,-2.518090382146667,,
