PID,par_val,cond,order
501,3.124633212908347,,
502,5.934760351767815,,
503,2.76854906713823,,
505,3.679226136557293,,
506,3.4657912096220294,,
507,5.399781626756363,,
601,3.902211149174711,,
603,4.699167791273055,,
604,4.513521229108273,,
605,5.314760026298489,,
701,4.920289855072463,,
702,4.163277590900627,,
703,4.208752932136212,,
704,3.39673708146777,,
706,3.027710278162175,,
707,2.17938233091935,,
708,3.8287111441195014,,
709,6.701700599974237,,
710,3.566712182625001,,
712,3.2128237721556663,,
713,3.354104339176726,,
715,2.2123563819131546,,
716,3.893967404837039,,
717,4.1554883249688785,,
719,3.2457865536138133,,
720,3.0287191655830377,,
721,4.114300892097259,,
